No,Pantun,Tema,Jenis,Makna,Situasi Penggunaan,Markah,Muka Surat,Cara Penggunaan
1,"Berjalan pagi di tepi kota,
Udara nyaman segar terasa.
Kesihatan dijaga sepanjang usia,
Tubuh sihat jiwa pun ceria.",Kesihatan,Pantun Nasihat,Menjaga kesihatan dengan bersenam dan menghirup udara segar dapat memastikan tubuh kekal sihat dan minda cergas di usia emas.,"Ceramah kesihatan, poster motivasi warga emas.",9,12,"ğŸ¤ **Ceramah Kesihatan**: Digunakan dalam sesi ceramah kesihatan untuk menggalakkan warga emas bersenam dan menjaga kesihatan.
ğŸ“œ **Poster Motivasi**: Boleh dicetak di pusat kesihatan atau klinik untuk memberi peringatan kepada pesakit lanjut usia."
2,"Ibu ayah sungguh berjasa,
Membesarkan anak penuh mesra.
Jangan dilupa di usia senja,
Kasih dan hormat kekal sentiasa.",Kasih Sayang Keluarga,Pantun Budi,Ibu bapa telah berkorban membesarkan anak-anak dengan penuh kasih sayang. Warga emas perlu dihormati dan dihargai oleh generasi muda.,"Ucapan Hari Ibu/Bapa, kempen penghormatan warga emas.",10,13,"ğŸ¤ **Ucapan Hari Ibu/Bapa**: Sesuai digunakan dalam majlis penghargaan untuk ibu bapa.
ğŸ“œ **Kempen Kesedaran**: Digunakan dalam poster dan risalah yang menggalakkan penghormatan kepada warga emas."
3,"Senja berlabuh malam pun tiba,
Bintang bersinar cahaya terang.
Jangan bersedih wahai sahabat,
Hidup bererti selagi berjuang.",Semangat Hidup,Pantun Motivasi,"Walaupun usia meningkat, semangat tidak boleh luntur. Setiap hari adalah peluang baru untuk menikmati kehidupan dengan penuh makna.","Ceramah motivasi, hiasan di rumah warga emas.",9,14,"ğŸ¤ **Ceramah Motivasi**: Boleh digunakan dalam program kesejahteraan warga emas.
ğŸ¡ **Hiasan Rumah**: Dicetak dan dijadikan hiasan inspirasi di rumah orang tua."
4,"Dulu berlari di sawah padi,
Menangkap belut bersama rakan.
Kini terkenang masa yang pergi,
Hanya di hati tersimpan kenangan.",Kenangan Lama,Pantun Nostalgia,"Kenangan masa lalu menjadi sumber kebahagiaan bagi warga emas. Meskipun masa sudah berlalu, ingatan terhadap pengalaman indah tetap segar di hati.","Majlis reunion warga emas, dokumentari nostalgia.",8.5,15,"ğŸ“º **Dokumentari Nostalgia**: Digunakan dalam rancangan dokumentari atau majalah khas warga emas.
ğŸ‰ **Majlis Reunion**: Sesuai sebagai pembuka kata dalam pertemuan semula warga emas."
5,"Pagi mendung hujan gerimis,
Dedaun luruh jatuh ke laman.
Umur senja janganlah cemas,
Banyak hikmah Tuhan berikan.",Hikmah Usia Senja,Pantun Hikmah,"Usia tua bukan kelemahan, tetapi peluang untuk lebih mendekatkan diri kepada Tuhan dan menghargai setiap detik kehidupan.","Forum keagamaan, ceramah motivasi warga emas.",9.5,16,"ğŸ“– **Forum Keagamaan**: Sesuai dalam ceramah agama untuk mengingatkan tentang hikmah usia emas.
ğŸ¤ **Ceramah Motivasi**: Boleh digunakan dalam program kesejahteraan warga emas."
6,"Kalau menanam, siram selalu,
Agar subur daunnya hijau.
Hidup berkat janganlah ragu,
Rajin memberi, hati pun damai.",Keberkatan Hidup,Pantun Budi,Keberkatan dalam hidup datang daripada amalan baik seperti bersedekah dan membantu orang lain. Kebaikan yang dilakukan akan membawa ketenangan jiwa.,"Kempen kebajikan, poster kempen amal.",9,17,"ğŸ¤ **Kempen Kebajikan**: Digunakan dalam program kebajikan untuk menggalakkan amalan bersedekah.
ğŸ“œ **Poster Amal**: Dicetak dan dipaparkan dalam program kemasyarakatan."
7,"Burung merpati terbang berdua,
Mencari makan di tengah sawah.
Hormat menghormati amalan mulia,
Membawa damai sejahtera indah.",Hormat-Menghormati,Pantun Nasihat,Menghormati sesama manusia adalah asas keharmonian hidup. Sikap saling menghormati akan membawa keamanan dan kesejahteraan.,"Kempen perpaduan, pendidikan moral di sekolah.",9,18,"ğŸ“ **Pendidikan Moral**: Sesuai digunakan dalam sekolah untuk mengajar nilai hormat menghormati.
ğŸ­ **Kempen Perpaduan**: Boleh digunakan dalam ucapan program perpaduan masyarakat."
8,"Langit cerah burung berkicau,
Menyanyi riang di dahan tinggi.
Sahabat sejati takkan menjauh,
Susah senang tetap di sisi.",Persahabatan Sejati,Pantun Persahabatan,Sahabat sejati akan sentiasa ada di saat senang dan susah. Persahabatan yang jujur adalah hubungan yang paling berharga dalam hidup.,"Ucapan persahabatan, majlis perpisahan.",9,19,"ğŸ‰ **Majlis Persahabatan**: Sesuai dalam majlis perpisahan atau pertemuan semula rakan lama.
ğŸ¡ **Hiasan & Inspirasi**: Boleh dijadikan dekorasi dinding dalam rumah atau pejabat."
9,"Bunga melur putih berseri,
Tumbuh subur di laman hati.
Bersama keluarga hidup harmoni,
Kasih sayang tiada ganti.",Kebahagiaan Berkeluarga,Pantun Budi,Kebahagiaan yang sebenar datang daripada kasih sayang dalam keluarga. Hubungan yang erat dalam keluarga menjadikan hidup lebih bermakna.,"Kempen keluarga bahagia, pendidikan keluarga.",9.5,20,"ğŸ‘¨â€ğŸ‘©â€ğŸ‘§ **Kempen Keluarga Bahagia**: Sesuai dalam seminar keluarga atau program motivasi rumah tangga.
ğŸ“œ **Poster Pendidikan**: Dicetak dalam risalah kesedaran tentang pentingnya kasih sayang keluarga."
10,"Matahari terbit di ufuk timur,
Cahayanya terang menyinar pagi.
Hidup ini jangan tak jujur,
Kejujuran membawa hati berseri.",Kejujuran & Amanah,Pantun Nasihat,Kejujuran dan amanah adalah asas kehidupan yang baik. Sesiapa yang jujur akan dipercayai dan dihormati oleh masyarakat.,"Ceramah etika, poster kesedaran integriti.",9,21,"ğŸ› **Ceramah Etika**: Digunakan dalam seminar kejujuran dan amanah.
ğŸ“œ **Poster Kesedaran**: Boleh dipaparkan di sekolah dan tempat kerja untuk menggalakkan nilai jujur."
